ID,DESCRIPCION,RESP_OK,R1,R2,R3
1,1 manzana aporta:,55,36,7,55
2,1 naranja aporta:,36,29,31,36
3,1 cereza aporta:,5,4,5,7
4,1 pera aporta:,94,149,24,94
5,1 mango aporta:,144,139,144,101
6,1 granada aporta:,44,44,24,18
7,1 fresa aporta:,4,4,5,1
8,1 durazno aporta:,30,29,30,10
9,1 kiwi aporta:,46,50,52,46
10,1 platano aporta:,96,39,82,96
11,1 papa cocida mediana aporta:,143,146,143,204
12,1 taza de papaya aporta:,55,64,54,55
13,1 jitomate aporta:,22,14,22,32
14,1 taza de brocoli cocido aporta:,52,52,21,56
15,14 piezas de cacahuate aportan:,73,63,68,73
16,100 gramos de coco aporta:,354,265,354,314
17,1 taza de frambuesa aporta:,64,72,75,64
18,1 taza de melon aporta:,53,53,63,27
19,1 taza de sandia aporta:,46,40,45,46
20,1 taza de piña aporta:,50,99,68,50
21,1/2 aguacate aporta:,162,22,162,159
22,1 taza de moras aporta:,62,41,4,62
23,1 guanabana mediana aporta:,90,90,34,82
24,10 piezas de alitas de pollo fritas bañadas en salsa aportan:,890,792,890,1107
25,1 rebanada de 80 gramos de pay de queso aporta:,264,299,66,264
26,5 galletas maria aportan:,69,27,69,15
27,1 taza de 200 ml de leche de almendra aporta:,30,30,37,53
28,1 taza de 240 ml de jugo de naranja natural aporta:,108,43,108,34
29,1 palomitas chicas de cine aporta:,430,567,275,430
30,10 almendras aportan:,66,66,79,70
31,210 gramos de papas a la francesa aporta:,208,208,319,241
32,1 taza de 240 ml de leche de vaca entera aporta:,148,148,23,119
33,1 lata de refresco de cola aporta:,139,194,96,139
34,1 rollo de 8 sushis con camaron aporta:,423,603,117,423
35,2 rebanadas de pizza aportan:,365,205,101,365
36,1 dona glaseada aporta:,306,306,19,34
37,1 muffin aporta:,321,321,506,400
38,1 panecillo con cubierta de chocolate aporta:,195,305,195,151
39,1 pieza de malvavisco con chocolate aporta:,118,28,44,118
40,1 galleta con malvavisco cubierta con chocalate aporta:,199,70,146,199
41,1 bolsa de papas fritas aporta:,210,43,199,210
42,8 aros de cebolla aportan:,276,45,276,400
43,3 dedos de queso aportan:,255,295,255,332
44,1 taza de 240 ml de leche de soya aporta:,127,127,84,219
45,1/2 taza de frijoles fritos aporta:,188,244,188,178
46,100 gramos de filete de pescado a la plancha aporta:,110,133,110,77
47,100 gramos de filete de pescado empanizado aporta:,350,244,155,350
48,5 palomitas de pollo con salsa aportan:,225,225,286,157
49,1 taza de 240 ml de cocktail de camarones aporta:,196,196,273,221
50,1 taza de arroz blanco con verduras aporta:,175,195,232,175
51,1 taza de arroz con leche aporta:,370,119,392,370
52,6 galletas sabor chocolate aportan:,258,258,266,43
53,"1 club sandwich de jamon, queso y verduras aporta:",280,66,247,280
54,1 rebanada de 80 gramos de pay de limon aporta:,315,210,315,160
55,1 rebanada de pastel de chocolate de 80 gramos aporta:,185,83,185,65
56,3 galletas con chispas de chocolate aportan:,105,12,77,105
57,1 frape de chocolate aporta:,515,515,177,589
58,1 barra de chocolate de 41 gramos aporta:,230,44,230,91
59,1 taza de café de 240 ml sin azucar aporta:,5,5,8,3
60,1 taza de te de manzanilla de 240 ml sin azucar:,2,3,2,1
61,1 shot de tequila aporta:,64,63,49,64
62,2 hot cakes aportan:,270,201,228,270
63,2 crepas dulces aportan:,195,179,241,195
64,1 papas locas aportan:,668,175,340,668
65,60 gramos de cacahuates japoneses aporta:,300,16,412,300
66,3 nueces aportan:,67,13,57,67
67,1 taza de gelatina sin azucar aporta:,10,3,8,10
68,1/2 taza de gelatina de leche aporta:,145,34,79,145
69,3 tacos de arrachera aportan:,480,645,480,309
70,1 huevo cocido aporta:,57,28,57,71
71,1 huevo frito aporta:,90,67,90,79
72,100 gramos de pescado frito aporta:,206,163,213,206
73,40 gramos de ensalada de surimi aporta:,126,42,88,126
74,2 tacos de tripa aportan:,333,187,333,100
75,100 gramos de pavo cocido aporta:,126,99,126,172
76,1 taza de 240 ml de leche con chocolate aporta:,208,188,93,208
77,100 gramos de filete de T-bone aporta:,247,247,167,206
78,100 gramos de chicharron de pescado aporta:,410,149,410,239
79,120 gramos de arrachera aporta:,120,164,99,120
80,3 piezas de sardina aportan:,75,41,101,75
81,1 manzana enchilada de tamarindo con chile aporta:,365,365,156,641
82,1 bebida hidratante con electrolitos de 600 ml aporta:,144,144,60,169
83,5 nuggets de pollo aportan:,260,230,260,275
84,1 cucharada de crema de avellana y chocolate aporta:,130,98,130,173
85,100 gramos de pollo rostizado aporta:,238,166,238,180
86,1 te helado embotellado de 500 ml aporta:,146,146,146,121
87,1 huevo con salchicha aporta:,158,158,110,115
88,100 gramos de Rib-Eye aporta:,246,246,234,43
89,1 café moka de 600 ml con crema batida aporta:,330,553,330,453
90,1 paleta de agua aporta:,41,18,41,37
91,1 mazapan de cacahuate aporta:,130,83,130,91
92,1 lonche de jamon aporta:,330,75,325,330
93,10 fresas cubiertas con chocolate aportan:,340,366,270,340
94,1/2 taza de cereal con chocolate y leche entera aporta:,260,260,190,406
95,1/2 taza de chongos zamoranos aporta:,194,112,344,194
96,2 mandarinas aporta:,68,70,48,68
97,100 gramos de pasta aporta:,131,126,131,55
98,6 aceitunas aportan:,46,46,14,64
99,5 cocadas aportan:,613,247,864,613
100,20 gramos de lunetas aportan:,80,80,70,145
101,4 danoninos aportan:,181,88,194,181
102,150 gramos de pasta alfredo aporta:,540,654,748,540
103,1 cucharada de guacamole aporta:,23,23,20,32
104,18 pistaches aportan:,73,73,44,35
105,30 gramos de chicharron de cerdo aporta:,167,21,167,56
106,1/4 taza de chilorio aporta:,185,185,154,132
107,1 cucharada de pate de ganso aporta:,61,92,61,57
108,1 torta ahogada con carnitas aporta:,405,324,597,405
109,1 tazon de 300 ml de pozole aporta:,240,240,98,241
110,4 flautas de pollo aportan:,328,381,204,328
111,25 gramos de gorditas aporta:,172,172,127,67
112,2 sopes rellenos aportan:,333,414,272,333
113,3 chocolates con avellana aportan:,210,145,164,210
114,450 ml de jugo de mango embotellado aporta:,202,202,234,230
115,1 plato mediano de carne en su jugo aporta:,284,179,284,163
116,4 gomitas aportan:,42,42,38,50
117,1 taza de pure de papa aporta:,119,119,127,23
118,1 taza de 240 ml de agua de coco aporta:,46,36,12,46
119,1/2 taza de arandanos aporta:,51,62,51,30
120,1 cerveza oscura de 355 ml aporta:,180,180,86,198
121,1 lata de redbull de 250 ml aporta:,108,44,71,108
122,1 lata de 350 ml de agua mineral aporta:,4,3,4,6
123,5 datiles aportan:,115,115,123,96
124,30 gramos de ate de membrillo aporta:,81,34,126,81
125,1 toronja aporta:,76,112,44,76
126,90 gramos de barra de amaranto aporta:,86,86,117,21
127,1 barra de avena con chispas de chocolate aporta:,190,231,318,190
128,1 bigote de chocolate aporta:,309,170,309,202
129,1 brownie aporta:,228,373,228,66
130,1 rebanada de 40 gramos de pay de manzana aporta:,95,91,115,95
131,1 oreja mediana aporta:,243,101,243,63
132,1 rebanada de panque de 32 gramos aporta:,120,154,120,49
